año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2015;069;La Hiruela;0;La Hiruela;2015-08-07
2015;069;La Hiruela;0;La Hiruela;2015-08-08
2015;138;La Serna del Monte;0;La Serna del Monte;2015-08-27
2015;138;La Serna del Monte;0;La Serna del Monte;2015-08-28
2015;127;Las Rozas de Madrid;0;Las Rozas de Madrid;2015-05-04
2015;127;Las Rozas de Madrid;0;Las Rozas de Madrid;2015-09-29
2015;074;Leganés;0;Leganés;2015-08-17
2015;074;Leganés;0;Leganés;2015-10-10
2015;075;Loeches;0;Loeches;2015-09-10
2015;075;Loeches;0;Loeches;2015-09-11
2015;087;Los Molinos;0;Los Molinos;2015-01-20
2015;087;Los Molinos;0;Los Molinos;2015-09-14
2015;137;Los Santos de la Humosa;0;Los Santos de la Humosa;2015-05-15
2015;137;Los Santos de la Humosa;0;Los Santos de la Humosa;2015-09-08
2015;076;Lozoya;0;Lozoya;2015-08-06
2015;076;Lozoya;0;Lozoya;2015-10-06
2015;901;Lozoyuela-Navas-Sieteiglesias;0;Lozoyuela-Navas-Sieteiglesias;2015-09-21
2015;901;Lozoyuela-Navas-Sieteiglesias;0;Lozoyuela-Navas-Sieteiglesias;2015-12-07
2015;078;Madarcos;0;Madarcos;2015-03-02
2015;078;Madarcos;0;Madarcos;2015-07-27
2015;079;Madrid;0;Madrid;2015-05-15
2015;079;Madrid;0;Madrid;2015-11-09
2015;080;Majadahonda;0;Majadahonda;2015-09-14
2015;080;Majadahonda;0;Majadahonda;2015-11-25
2015;082;Manzanares el Real;0;Manzanares el Real;2015-05-25
2015;082;Manzanares el Real;0;Manzanares el Real;2015-09-14
2015;083;Meco;0;Meco;2015-09-10
2015;083;Meco;0;Meco;2015-09-11
2015;084;Mejorada del Campo;0;Mejorada del Campo;2015-09-21
2015;084;Mejorada del Campo;0;Mejorada del Campo;2015-09-22
2015;085;Miraflores de la Sierra;0;Miraflores de la Sierra;2015-02-03
2015;085;Miraflores de la Sierra;0;Miraflores de la Sierra;2015-05-15
2015;088;Montejo de la Sierra;0;Montejo de la Sierra;2015-09-04
2015;088;Montejo de la Sierra;0;Montejo de la Sierra;2015-09-07
2015;089;Moraleja de Enmedio;0;Moraleja de Enmedio;2015-09-07
2015;089;Moraleja de Enmedio;0;Moraleja de Enmedio;2015-09-08
2015;090;Moralzarzal;0;Moralzarzal;2015-09-24
2015;090;Moralzarzal;0;Moralzarzal;2015-09-28
2015;091;Morata de Tajuña;0;Morata de Tajuña;2015-05-15
2015;091;Morata de Tajuña;0;Morata de Tajuña;2015-09-08
2015;092;Móstoles;0;Móstoles;2015-05-15
2015;092;Móstoles;0;Móstoles;2015-09-12
2015;093;Navacerrada;0;Navacerrada;2015-06-15
2015;093;Navacerrada;0;Navacerrada;2015-09-08
2015;094;Navalafuente;0;Navalafuente;2015-02-03
2015;094;Navalafuente;0;Navalafuente;2015-08-24
2015;095;Navalagamella;0;Navalagamella;2015-05-08
2015;095;Navalagamella;0;Navalagamella;2015-09-14
2015;096;Navalcarnero;0;Navalcarnero;2015-05-15
2015;096;Navalcarnero;0;Navalcarnero;2015-09-08
2015;097;Navarredonda y San Mamés;0;Navarredonda y San Mamés;2015-08-18
2015;097;Navarredonda y San Mamés;0;Navarredonda y San Mamés;2015-09-29
2015;099;Navas del Rey;0;Navas del Rey;2015-09-07
2015;099;Navas del Rey;0;Navas del Rey;2015-09-08
2015;100;Nuevo Baztán;0;Nuevo Baztán;2015-05-11
2015;100;Nuevo Baztán;0;Nuevo Baztán;2015-12-03
2015;101;Olmeda de las Fuentes;0;Olmeda de las Fuentes;2015-04-06
2015;101;Olmeda de las Fuentes;0;Olmeda de las Fuentes;2015-08-24
2015;102;Orusco de Tajuña;0;Orusco de Tajuña;2015-09-14
2015;102;Orusco de Tajuña;0;Orusco de Tajuña;2015-12-28
2015;104;Paracuellos de Jarama;0;Paracuellos de Jarama;2015-05-25
2015;104;Paracuellos de Jarama;0;Paracuellos de Jarama;2015-05-26
2015;106;Parla;0;Parla;2015-06-15
2015;106;Parla;0;Parla;2015-09-14
2015;107;Patones;0;Patones;2015-02-02
2015;107;Patones;0;Patones;2015-06-24
2015;108;Pedrezuela;0;Pedrezuela;2015-09-29
2015;108;Pedrezuela;0;Pedrezuela;2015-09-30
2015;109;Pelayos de la Presa;0;Pelayos de la Presa;2015-02-03
2015;109;Pelayos de la Presa;0;Pelayos de la Presa;2015-08-14
2015;110;Perales de Tajuña;0;Perales de Tajuña;2015-02-03
2015;110;Perales de Tajuña;0;Perales de Tajuña;2015-05-15
2015;111;Pezuela de las Torres;0;Pezuela de las Torres;2015-05-04
2015;111;Pezuela de las Torres;0;Pezuela de las Torres;2015-09-14
2015;112;Pinilla del Valle;0;Pinilla del Valle;2015-09-29
2015;112;Pinilla del Valle;0;Pinilla del Valle;2015-09-30
2015;113;Pinto;0;Pinto;2015-05-15
2015;113;Pinto;0;Pinto;2015-11-09
2015;114;Piñuécar-Gandullas;0;Piñuécar-Gandullas;2015-01-23
2015;114;Piñuécar-Gandullas;0;Piñuécar-Gandullas;2015-10-07
2015;115;Pozuelo de Alarcón;0;Pozuelo de Alarcón;2015-07-16
2015;115;Pozuelo de Alarcón;0;Pozuelo de Alarcón;2015-09-07
2015;116;Pozuelo del Rey;0;Pozuelo del Rey;2015-09-25
2015;116;Pozuelo del Rey;0;Pozuelo del Rey;2015-09-28
2015;117;Prádena del Rincón;0;Prádena del Rincón;2015-07-16
2015;117;Prádena del Rincón;0;Prádena del Rincón;2015-07-20
2015;118;Puebla de la Sierra;0;Puebla de la Sierra;2015-05-15
2015;118;Puebla de la Sierra;0;Puebla de la Sierra;2015-09-14
2015;902;Puentes Viejas;0;Puentes Viejas;2015-07-13
2015;902;Puentes Viejas;0;Puentes Viejas;2015-07-27
2015;119;Quijorna;0;Quijorna;2015-01-19
2015;119;Quijorna;0;Quijorna;2015-05-15
2015;120;Rascafría;0;Rascafría;2015-08-17
2015;120;Rascafría;0;Rascafría;2015-11-30
2015;121;Redueña;0;Redueña;2015-09-14
2015;121;Redueña;0;Redueña;2015-12-14
2015;122;Ribatejada;0;Ribatejada;2015-05-29
2015;122;Ribatejada;0;Ribatejada;2015-08-28
2015;123;Rivas-Vaciamadrid;0;Rivas-Vaciamadrid;2015-05-14
2015;123;Rivas-Vaciamadrid;0;Rivas-Vaciamadrid;2015-05-15
2015;124;Robledillo de la Jara;0;Robledillo de la Jara;2015-08-10
2015;124;Robledillo de la Jara;0;Robledillo de la Jara;2015-10-05
2015;125;Robledo de Chavela;0;Robledo de Chavela;2015-08-27
2015;125;Robledo de Chavela;0;Robledo de Chavela;2015-08-31
2015;126;Robregordo;0;Robregordo;2015-08-17
2015;126;Robregordo;0;Robregordo;2015-08-18
2015;128;Rozas de Puerto Real;0;Rozas de Puerto Real;2015-02-05
2015;128;Rozas de Puerto Real;0;Rozas de Puerto Real;2015-06-24
2015;129;San Agustín del Guadalix;0;San Agustín del Guadalix;2015-09-18
2015;129;San Agustín del Guadalix;0;San Agustín del Guadalix;2015-09-21
2015;130;San Fernando de Henares;0;San Fernando de Henares;2015-05-15
2015;130;San Fernando de Henares;0;San Fernando de Henares;2015-05-29
2015;131;San Lorenzo de El Escorial;0;San Lorenzo de El Escorial;2015-08-10
2015;131;San Lorenzo de El Escorial;0;San Lorenzo de El Escorial;2015-09-14
2015;132;San Martín de la Vega;0;San Martín de la Vega;2015-04-27
2015;132;San Martín de la Vega;0;San Martín de la Vega;2015-04-28
2015;133;San Martín de Valdeiglesias;0;San Martín de Valdeiglesias;2015-09-08
2015;133;San Martín de Valdeiglesias;0;San Martín de Valdeiglesias;2015-11-11
2015;134;San Sebastián de los Reyes;0;San Sebastián de los Reyes;2015-01-20
2015;134;San Sebastián de los Reyes;0;San Sebastián de los Reyes;2015-08-28
2015;135;Santa María de la Alameda;0;Santa María de la Alameda;2015-05-15
2015;135;Santa María de la Alameda;0;Santa María de la Alameda;2015-09-08
2015;136;Santorcaz;0;Santorcaz;2015-05-15
2015;136;Santorcaz;0;Santorcaz;2015-09-14
2015;140;Serranillos del Valle;0;Serranillos del Valle;2015-08-17
2015;140;Serranillos del Valle;0;Serranillos del Valle;2015-09-03
2015;141;Sevilla la Nueva;0;Sevilla la Nueva;2015-05-15
2015;141;Sevilla la Nueva;0;Sevilla la Nueva;2015-09-14
2015;143;Somosierra;0;Somosierra;2015-07-31
2015;143;Somosierra;0;Somosierra;2015-08-03
2015;144;Soto del Real;0;Soto del Real;2015-08-03
